,polarity,subjectivity,tweets
0,0.5111111111111111,0.7111111111111111,RT @smoljenmish: #RespectCassieClare ? The women who threw the word rape around so easily to offend people who liked the show better than h…
1,0.0,0.25,"RT @IanPhilTrait: #Muslim Rape Gangs: As a Rotherham grooming &amp; rape gang survivor, I want people to know about the religious extremism whi…"
2,0.1,0.2,I can still smell his Old Spice. I can still feel the agony in my body. https://t.co/4jowJm0N2Z via @HuffPost
3,0.0,0.0,@JDanielVilliers @xz2442 @Antihypocrite22 @AylinaKilic 2. why didn't the usa stop the Myanmar genocide rape and eth… https://t.co/Gxw6EBZl1P
4,0.0,0.0,RT @jilevin: Rape is rape—but not according to the GOP… https://t.co/ouWbxa2jUh
5,-0.45,0.775,@RealJamesWoods #Democrats largest corrupt gang in #America laws do not apply to them their criminal activity sets… https://t.co/DCuiKqW2sf
6,0.0,0.0,"RT @AmyMek: German nurses are now being given self-defence courses against increasing Jihadi ""refugee"" violence in hospitals

I wonder if n…"
7,0.1,0.2,RT @TolerantAsian: A 6 year old girl died in India on March 6th from being strangled during an attempted rape and her body  was found near…
8,-0.08333333333333333,0.4444444444444444,@notCursedE this video is so creepy and stalkerish. first off: its a child. second: even IF thats a dick (im pretty… https://t.co/DOIY7T6T06
9,0.0,0.0,RT @VijayPachlangia: @ak2481259 @DrMohanBhagawat @sardanarohit Bilkul karenge pahale tumhare us 56 saal ke Buddhe child repist pe rape case…
10,0.0,0.0,@thelorigrace @AlysonKelly @zmanaz @sheylb @RobertSchonhoff @GovMikeHuckabee @JimCarrey @PressSec Oh it matters alr… https://t.co/zZ0RGPZY0e
11,0.0,0.0,RT @jihadwatchRS: Muslim rape gang attacks soar in Sadiq Khan’s London https://t.co/KNxanouHMI https://t.co/PDq8PJerBL
12,0.0,0.0,"RT @jihadwatchRS: UK: Muslim grandfather ran pedophile rape house in Telford, police neglected evidence https://t.co/vFCspLO8UX https://t.c…"
13,-0.1,0.4,"RT @geetv79: Just What Can be Expected 

Accused in Rape &amp; Murder of 8 Yr Child 
Turns Out to be from ABVP 👇

#BJPSeBetiBachao 
#BJP_भगाओ_…"
14,0.0,0.4,"Oh NAH, don’t blame the boys like he raped you, bih you went out drinking with him and end up naked on bed and now… https://t.co/a5l8klNHON"
15,0.05208333333333333,0.6604166666666667,RT @ffucoff: I love how muslim men hardly follow islam but only when issues like 4 wives &amp; marital rape come up suddenly they know all ayah…
16,0.6,1.0,"RT @bramspierfeld: cassie plagarised her books, accused an the tv portrayal of /her own character/ of rape, tried to get a girl kicked out…"
17,-0.09375000000000001,0.05,"RT @LailaIjeoma: Hello guys

If someone you know has been a victim of rape in Lagos State, please contact @DSVRT immediately!

They will he…"
18,0.1,0.2,RT @merlin_brpt: I can still smell his Old Spice. I can still feel the agony in my body. https://t.co/PrzleqV55l via @HuffPost #NYPassCVA #…
19,0.0,0.0,RT @jilevin: Rape is rape—but not according to the GOP… https://t.co/ouWbxa2jUh
20,0.375,0.625,"RT @SurvivorsWY: Victims are more willing to report rape, so why are conviction rates still woeful? https://t.co/e9bLt8LRKo via @Conversati…"
21,0.0,0.0,RT @jilevin: Rape is rape—but not according to the GOP… https://t.co/ouWbxa2jUh
22,0.0,0.0,"RT @larryelder: Dem icon JFK partied with hookers at the WH, slept with a mobster’s GF. RFK was a serial cheater. Ted ""Chappaquiddick"" Kenn…"
23,0.06666666666666667,0.03333333333333333,"RT @thetolerantman: &gt;British guy wants to talk at speakers corner about epidemic level of rape against British children by ""asian"" gangs
&gt;A…"
24,0.5,0.8333333333333334,RT @AFP: Around 100 women have accused Harvey Weinstein of sexual misconduct with allegations ranging from harassment to rape. Weinstein de…
25,-0.07777777777777779,0.14444444444444446,RT @COLRICHARDKEMP: Rape jihad. Men queued down stairs to rape Telford girl - then she went to school the next day 'like nothing happened'.…
26,0.5,0.5,@SatiricalTruth2 @bentpine_bruce @FamousA398 @sd21852 @TomiLahren @GOPChairwoman How many women did Hillary's husba… https://t.co/IT5AFiUHgV
27,-0.16666666666666666,0.16666666666666666,RT @taetosterone: Logic of kpopies: Making a slightly offending meme against them or making a harmless joke against them equals to sending…
28,0.0,0.0,RT @BraveryProject: https://t.co/aapmTRZdqO https://t.co/QyYZLoXuC8
29,0.0,0.0,"RT @larryelder: Dem icon JFK partied with hookers at the WH, slept with a mobster’s GF. RFK was a serial cheater. Ted ""Chappaquiddick"" Kenn…"
30,-0.6,0.8,@neileatson @Spooky23 Tiger v Martina MMA gloves rape allowed. Tiger's getting a fucking racket up his batty. Not even lubed.
31,0.4,0.9,@Vision365 As an artist you can now just inject some lefty politics into your art to be relevant again. Forget that… https://t.co/l4S18LIvxd
32,0.0,0.25,"RT @thedailybeast: Until recently, travelers were clueless about the dangers lurking at luxury resorts overseas. The case of Anna Karabash…"
33,-0.14285714285714285,0.5357142857142857,"RT @LilaGraceRose: Some choices are never “right,” @washingtonpost. Like the choice to rape, steal or kill. Like the choice to  abort a chi…"
34,0.06666666666666667,0.03333333333333333,"RT @thetolerantman: &gt;British guy wants to talk at speakers corner about epidemic level of rape against British children by ""asian"" gangs
&gt;A…"
35,-0.7142857142857143,0.8571428571428571,Hayibo bra Kush??? Yhu ha ah rape makes me so sick 😭😭😭 #IsithembisoMzansi
36,0.5,0.8333333333333334,"RT @FoxNews: Steven Seagal accusers detail rape, sexual assault allegations against actor https://t.co/qmw3ZPrdrO"
37,0.0,0.0,Michael Peterson has been charged w/4 counts of statutory rape/sex offense &amp;amp; 4 counts of indecent liberties w… https://t.co/mPvndVqS6V
38,0.0,0.05,"RT @_celia_marie_: They’ve proven over and over again they don’t actually care about moving this country left, they just care about mocking…"
39,0.25,0.3333333333333333,"RT @yorkspride: How many of these female MP's have spoke out about Telford grooming, Telford rape, Telford paedophiles? Telford murder?

As…"
40,0.25,0.32500000000000007,"RT @radremingtin: Now some of you Wonderful People are thinking: “what about male rape victims? or male victims of domestic abuse”.

Those…"
41,0.07500000000000001,0.15,"RT @Jim_Sheridan: Thanks to the 8th:
Ireland tried to lock up a 14 yr old rape victim to force her to give birth.
Against the family’s wish…"
42,0.09999999999999998,0.85,that... that doesnt fuckin matter its still unhealthy and ur still not getting my point and LMAO just block me why… https://t.co/emtYAP8j19
43,0.5,0.5,@SuchFizzMuchWow Yes if I can't defend myself anyone can rape. You can google that more men are raped every year th… https://t.co/I8PSY8kejf
44,0.0,0.08333333333333334,"RT @BigGucci_Idz: Why do some of you always doubt domestic violence &amp; rape victims? They don't gain anything from making it public, especia…"
45,0.0125,0.4,@_TheOneYouNeed That is total bullshit. Rape is not a joke. There is no excuse for what Nene said.
46,-0.14285714285714285,0.5357142857142857,"RT @LilaGraceRose: Some choices are never “right,” @washingtonpost. Like the choice to rape, steal or kill. Like the choice to  abort a chi…"
47,0.0,0.0,"RT @labour_history: #OTD 1974. Barbara Castle appoints Jack Ashley as her PPS. Ashley was a deaf MP, who campaigned for rights of disabled…"
48,0.0,0.0,@allykaylee Didn’t Tupac rape someone?
49,-0.3125,0.6875,"RT @Phillip_H_Davis: Muslims want Freedom of Religion. It doesn't mean freedom to enslave, rape, do honor killings, murder non-believers or…"
50,-0.16666666666666666,0.06666666666666667,@StateDept @statedeptspox The world would appreciate less of your way help that includes #DrugTrafficking… https://t.co/VO2zN6jxmX
51,0.0,1.0,"RT @davidkurten: The media is talking about: Russia
The media is not talking about: 'Brexit in Name Only' Transition Treaty &amp; sell out of U…"
52,0.0,0.0,"RT @iftikhar4814: ABUL-ZLAALT bin ABU-JEHL AMR LIAQT BGOOTR has committed SELF-RAPE
in CHAMBER of ZNA KHAN NIAZI &amp; PHAIRIAN WALI PIRNI JI…"
53,0.0,0.0,"@truthseekingiam @trumpovic_ivan @WillieWholeSlew @Laertes99 And people can thank Merkel for this: GERMANY, Sweden… https://t.co/DgCtioybET"
54,0.0,0.0,"RT @AmyMek: German nurses are now being given self-defence courses against increasing Jihadi ""refugee"" violence in hospitals

I wonder if n…"
55,0.3125,0.375,RT @KTHopkins: Labour. The Police. The BBC. More interested in my (truthful) tweets than the rape of our ‘white whore daughters’ by Pakista…
56,0.0,0.0,"RT @westbanes: She literally tried to get a girl kicked out of uni, romanticises rape and incest but y’all stan her ??? #RespectCassieClare…"
57,-0.25,0.5333333333333333,RT @hfmnews: BREAKING NEWS: Craig Keogh (26) found GUILTY of the rape and murder of 72-year-old Jane Hings in Fleckney last September - he'…
58,0.5,0.8333333333333334,"RT @FoxNews: Steven Seagal accusers detail rape, sexual assault allegations against actor https://t.co/qmw3ZPrdrO"
59,0.125,0.5625,"RT @chidzhazenberry: Abortion/miscarriage jokes are in the same boat as rape and pedophilia jokes.

Nothing is funny about any of those top…"
60,0.30000000000000004,0.8500000000000001,RT @dookie56K: Childish gambino used to be lettin them rape jokes FLY
61,0.0,0.0,"RT @MelindaDonova16: @DowHeater8 And just to think the mayor was sworn in on the Quran where it condones Rape 
So who are the Grooming Gang…"
62,0.0,0.0,"RT @larryelder: Dem icon JFK partied with hookers at the WH, slept with a mobster’s GF. RFK was a serial cheater. Ted ""Chappaquiddick"" Kenn…"
63,0.6,1.0,"RT @bramspierfeld: cassie plagarised her books, accused an the tv portrayal of /her own character/ of rape, tried to get a girl kicked out…"
64,0.0,0.0,"RT @bluesmokinghand: Hold Parliamentarians to account - It was their 'plan' #BarcelonaDeclaration that has allowed rape, murder &amp; a creepin…"
65,-0.5,0.3,"RT @BreitbartLondon: Telford: Police Failed to Act While Shahzad Khan Made £2,000 a Night Selling Victims at ‘The Rape House’ https://t.co/…"
66,0.25,0.4166666666666667,"RT @verainstitute: Though incarcerated women are often left out of #TimesUp and #MeToo discussions, experts say prison sexual abuse shares…"
67,-0.1,0.4,"RT @WaladShami: Never forget when in 2006 US soldiers raped two Iraqi girls aged 14 and 6 stating, ""I didn't see them as humans"" https://t.…"
68,0.0,0.0,"RT @AmyMek: German nurses are now being given self-defence courses against increasing Jihadi ""refugee"" violence in hospitals

I wonder if n…"
69,0.0,0.0,"RT @ChrisGr65431935: Well this will add fuel to the SHITHOLE: Will they rape or rape and butcher them?
https://t.co/W0vSwu3tYO"
70,0.0,0.0,"RT @snugglycamila: or maybe it’s because y’all sent camila death threats, made rape jokes, and said you hope she geta deported when she wen…"
71,0.13636363636363635,0.45454545454545453,New post ([171105][スイーツスパゲティ] アヘアヘ赤ずきんのえっちな散策 (Ver1.60) [RJ211097]) https://t.co/4t1MNHbmhD #Hentai #Doujin #Boobs… https://t.co/K2GajvysHs
72,0.0,0.0,"Mom Catches Pedophile Trying to Rape Child, Blows His Head Off With Shotgun https://t.co/EJMB3MA490"
73,0.0,0.0,"Mom Catches Pedophile Trying to Rape Child, Blows His Head Off With Shotgun https://t.co/2ghYLHUzxu"
74,0.0,0.4,"RT @AMDWaters: I heard similar stories when I was researching this.  Girl reports rape, police do nothing about the rape, but focus on her…"
75,0.0,0.0,fromage râpé sur les frites un del vrm 🤤
76,0.0,0.0,"RT @larryelder: Dem icon JFK partied with hookers at the WH, slept with a mobster’s GF. RFK was a serial cheater. Ted ""Chappaquiddick"" Kenn…"
77,-0.125,0.375,@tongotongoz @Holbornlolz What context do people need other than a terrorist hotbed or mass gang rape?
78,0.5,0.5,RT @aaronmckenna: Overheard an interesting conversation with college age girl and her dad. She was voting to repeal. He talked about the 12…
79,0.05357142857142857,0.3511904761904762,"RT @InGodIDoTrust: ARTICLE VI: You do not have the right to physically  harm other people. If you kidnap, rape, intentionally maim, or kill…"
80,0.25,0.5,"RT @TOICitiesNews: 3 held in connection with rape, murder of teenage girl https://t.co/bBZbFd6GiB"
81,-0.09999999999999992,0.7777777777777777,@magi_jay @thinkingpoker I am and im not a fan of it. But your thread is bad. It lies a lot. Im not even sure you’r… https://t.co/PCNoUYWoX6
82,0.2,0.30000000000000004,"RT @BisyarVickram: @MirchiRJNaved what do U think ? 
Your father was rapist ? 
Ur brother and ur uncle are rapist ?
And in real manner if u…"
83,0.6,1.0,"RT @bramspierfeld: cassie plagarised her books, accused an the tv portrayal of /her own character/ of rape, tried to get a girl kicked out…"
84,-0.02777777777777778,0.37777777777777777,RT @crageshri: “women aged 15-24 in Vulindlela and a nearby community were infected by men an average of 8.7 yrs older. Researchers cite bo…
85,0.3,0.4,"RT @Ekta_Kanda: #लज्जारक्षा
#SaintMSG_Initiative19

Saint Dr.MSG @Gurmeetramrahim ji Enlightening the life of Women suffering from acid Att…"
86,0.0,0.0,"RT @larryelder: Dem icon JFK partied with hookers at the WH, slept with a mobster’s GF. RFK was a serial cheater. Ted ""Chappaquiddick"" Kenn…"
87,-0.4,0.6,"are, 'What if there was no rape at all? What if she's lying? What happens to this poor guy she's accusing? What if… https://t.co/XWKaX6BinB"
88,0.0,0.0,"RT @trehan_barkha: VIDEO: रेप के झूठे केस में फंसाए गए युवक ने की खुदकुशी https://t.co/bBuOLHrmsx

यमुनानगर में एक युवक ने जहरीला पदार्थ नि…"
89,-0.1,0.4,"When it comes to rape, if we're expected to put ourselves in anyone else's shoes at all, it's the accused rapist's.… https://t.co/ohysFmTQvi"
90,0.0,0.0,Rape culture encourages us to scrutinize victims’ stories for any evidence that they brought the violence on themse… https://t.co/cjUkcV0U18
91,0.19999999999999998,0.4666666666666666,"RT @KDRayfield: #greed is not enough... the #patriarchy must pillage, plunder, rape &amp; more... in order to feel complete... but they never f…"
92,0.175,0.44999999999999996,"Rape culture manifests in a myriad ways…but its most devilish trick is to make the average, noncriminal person iden… https://t.co/vPhvp71AGd"
93,0.0,1.0,"RT @mobprincess2714: Sonny was abandoned,abused &amp; kicked out onto streets b4 he was 18, a mob boss being only father figure he had. As a re…"
94,-0.19166666666666662,0.6555555555555556,"Wow! That was really bad. That killing sounded personal. Rape, poured chocolate on them lit them on fire. That is a… https://t.co/VDf6cL6Bus"
95,0.8,0.7,@FoxNews a sex scene with Steve it would have to be rape lol
96,0.0,0.0,"Cuando me rompí la pierna me rapé, hoy, me dan el alta, y digo adiós a la mata de pelo 💪🏿"
97,0.0,0.0,"RT @kate_mccrea: So when Porshe just believed a lie she was told about you trying to rape her, it’s a no go, but when it’s Nene saying she…"
98,0.25,0.3333333333333333,"RT @yorkspride: How many of these female MP's have spoke out about Telford grooming, Telford rape, Telford paedophiles? Telford murder?

As…"
99,0.0,0.0,"ABUL-ZLAALT bin ABU-JEHL AMR LIAQT BGOOTR has committed SELF-RAPE
in CHAMBER of ZNA KHAN NIAZI &amp; PHAIRIAN WALI PIRN… https://t.co/1JbfOz2qfC"
